name,HDI
 Afghanistan,0.498
 Albania,0.785
 Algeria,0.754
 Andorra,0.858
 Angola,0.581
 Antigua and Barbuda,0.78
 Argentina,0.825
 Armenia,0.755
 Australia,0.939
 Austria,0.908
 Azerbaijan,0.757
 Bahamas,0.807
 Bahrain,0.846
 Bangladesh,0.608
 Barbados,0.8
 Belarus,0.808
 Belgium,0.916
 Belize,0.708
 Benin,0.515
 Bhutan,0.612
 Bolivia (Plurinational State of),0.693
 Bosnia and Herzegovina,0.768
 Botswana,0.717
 Brazil,0.759
 Brunei Darussalam,0.853
 Bulgaria,0.813
 Burkina Faso,0.423
 Burundi,0.417
 Cabo Verde,0.654
 Cambodia,0.582
 Cameroon,0.556
 Canada,0.926
 Central African Republic,0.367
 Chad,0.404
 Chile,0.843
 China,0.752
 Colombia,0.747
 Comoros,0.503
 Congo,0.606
 Congo (Democratic Republic of the),0.457
 Costa Rica,0.794
 Croatia,0.831
 Cuba,0.777
 Cyprus,0.869
 Czechia,0.888
 C™te d'Ivoire,0.492
 Denmark,0.929
 Djibouti,0.476
 Dominica,0.715
 Dominican Republic,0.736
 Ecuador,0.752
 Egypt,0.696
 El Salvador,0.674
 Equatorial Guinea,0.591
 Eritrea,0.44
 Estonia,0.871
 Eswatini (Kingdom of),0.588
 Ethiopia,0.463
 Fiji,0.741
 Finland,0.92
 France,0.901
 Gabon,0.702
 Gambia,0.46
 Georgia,0.78
 Germany,0.936
 Ghana,0.592
 Greece,0.87
 Grenada,0.772
 Guatemala,0.65
 Guinea,0.459
 Guinea-Bissau,0.455
 Guyana,0.654
 Haiti,0.498
 Honduras,0.617
" Hong Kong, China (SAR)",0.933
 Hungary,0.838
 Iceland,0.935
 India,0.64
 Indonesia,0.694
 Iran (Islamic Republic of),0.798
 Iraq,0.685
 Ireland,0.938
 Israel,0.903
 Italy,0.88
 Jamaica,0.732
 Japan,0.909
 Jordan,0.735
 Kazakhstan,0.8
 Kenya,0.59
 Kiribati,0.612
 Korea (Republic of),0.903
 Kuwait,0.803
 Kyrgyzstan,0.672
 Lao People's Democratic Republic,0.601
 Latvia,0.847
 Lebanon,0.757
 Lesotho,0.52
 Liberia,0.435
 Libya,0.706
 Liechtenstein,0.916
 Lithuania,0.858
 Luxembourg,0.904
 Madagascar,0.519
 Malawi,0.477
 Malaysia,0.802
 Maldives,0.717
 Mali,0.427
 Malta,0.878
 Marshall Islands,0.708
 Mauritania,0.52
 Mauritius,0.79
 Mexico,0.774
 Micronesia (Federated States of),0.627
 Moldova (Republic of),0.7
 Mongolia,0.741
 Montenegro,0.814
 Morocco,0.667
 Mozambique,0.437
 Myanmar,0.578
 Namibia,0.647
 Nepal,0.574
 Netherlands,0.931
 New Zealand,0.917
 Nicaragua,0.658
 Niger,0.354
 Nigeria,0.532
 Norway,0.953
 Oman,0.821
 Pakistan,0.562
 Palau,0.798
" Palestine, State of",0.686
 Panama,0.789
 Papua New Guinea,0.544
 Paraguay,0.702
 Peru,0.75
 Philippines,0.699
 Poland,0.865
 Portugal,0.847
 Qatar,0.856
 Romania,0.811
 Russian Federation,0.816
 Rwanda,0.524
 Saint Kitts and Nevis,0.778
 Saint Lucia,0.747
 Saint Vincent and the Grenadines,0.723
 Samoa,0.713
 Sao Tome and Principe,0.589
 Saudi Arabia,0.853
 Senegal,0.505
 Serbia,0.787
 Seychelles,0.797
 Sierra Leone,0.419
 Singapore,0.932
 Slovakia,0.855
 Slovenia,0.896
 Solomon Islands,0.546
 South Africa,0.699
 South Sudan,0.388
 Spain,0.891
 Sri Lanka,0.77
 Sudan,0.502
 Suriname,0.72
 Sweden,0.933
 Switzerland,0.944
 Syrian Arab Republic,0.536
 Tajikistan,0.65
 Tanzania (United Republic of),0.538
 Thailand,0.755
 The former Yugoslav Republic of Macedonia,0.757
 Timor-Leste,0.625
 Togo,0.503
 Tonga,0.726
 Trinidad and Tobago,0.784
 Tunisia,0.735
 Turkey,0.791
 Turkmenistan,0.706
 Uganda,0.516
 Ukraine,0.751
 United Arab Emirates,0.863
 United Kingdom,0.922
 United States of America,0.924
 Uruguay,0.804
 Uzbekistan,0.71
 Vanuatu,0.603
 Venezuela (Bolivarian Republic of),0.761
 Viet Nam,0.694
 Yemen,0.452
 Zambia,0.588
 Zimbabwe,0.535
