"","rowname","Trade Time","Last","Change","% Change","Open","High","Low","Volume","currency"
"47","SBDUSD=X",2018-07-16 16:10:00,0.12724103,0,0,0.12724103,0.12724103,0.12724103,0,"SBD"
"48","SLLUSD=X",2018-07-17 04:41:06,0.00012195122,0,0,0.00012195122,0.00012195122,0.00012195122,0,"SLL"
"49","SRDUSD=X",2018-07-17 09:16:54,0.13477089,0,0,0.135318,0.135318,0.13477089,0,"SRD"
"50","THBUSD=X",2018-07-17 12:24:19,0.030075189,-0.000009045005,-0.03007014,0.030075189,0.030129557,0.030048078,0,"THB"
"51","TJSUSD=X",2018-07-17 03:00:13,0.10616274,0,0,0.10616274,0.10616274,0.10616274,0,"TJS"
"52","TRYUSD=X",2018-07-17 12:24:19,0.20652196,0.00023004413,0.11151574,0.20629191,0.20725389,0.20578249,0,"TRY"
"53","TZSUSD=X",2018-07-17 12:01:13,0.00044014084,-0.0000005819602,-0.13204226,0.0004407228,0.0004411116,0.00043975373,0,"TZS"
"54","UAHUSD=X",2018-07-17 09:41:46,0.038138825,-0.00010209158,-0.26697063,0.038240917,0.038240917,0.038138825,0,"UAH"
"55","UGXUSD=X",2018-07-17 04:41:06,0.00026940383,0,0,0.00026940383,0.00026940383,0.00026940383,0,"UGX"
"56","USDUSD=X",2018-07-17 12:00:00,1,0,0,1,1,1,0,"USD"
"57","VNDUSD=X",2018-07-17 04:53:32,0.00004338583,0,0,0.00004338583,0.000043395245,0.00004338583,0,"VND"
"58","VUVUSD=X",2018-07-17 04:41:07,0.009202172,0.00010712817,1.177877,0.009043226,0.009202172,0.009043226,0,"VUV"
"59","WSTUSD=X",2018-07-17 05:10:00,0.38286304,-0.0018115044,-0.47092208,0.38467455,0.38467455,0.38286304,0,"WST"
"60","XAFUSD=X",2018-07-17 12:20:00,0.0017875338,0.0000005749753,0.0321743,0.0017867992,0.001791633,0.0017855549,0,"XAF"
"61","XCDUSD=X",2018-07-17 12:00:00,0.37037036,0,0,0.37037036,0.37037036,0.37037036,0,"XCD"
"62","XOFUSD=X",2018-07-17 12:20:00,0.0017875338,0.0000005749753,0.0321743,0.0017867992,0.001791633,0.0017855549,0,"XOF"
"63","YERUSD=X",2018-07-17 04:41:06,0.004002401,0,0,0.004002401,0.004002401,0.004002401,0,"YER"
"64","ZARUSD=X",2018-07-17 12:24:18,0.07533695,-0.00039882213,-0.5266019,0.07573577,0.07587369,0.075215116,0,"ZAR"
"65","ZMWUSD=X",2018-07-17 11:09:58,0.10020041,-0.00020119548,-0.20039585,0.1004016,0.10050251,0.0997009,0,"ZMW"
